treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
0,NA,NA,NA,NA,-1.5,1,82,1,0,3,1,2,1,1,1,0,73,NA
1,0.5,1,58,-0,2,1,60,-0,2,1,0,1,0,0,1,0,23,-1.5
1,2,2,50,1,2,1,50,-0,-1,3,1,-2,0,1,1,0,36,0
1,2,2,100,-0,2,1,100,-0,2,5,0,3,1,0,0,0,77,0
1,NA,NA,NA,NA,-1,1,8,-2,-2,5,0,-2,0,0,0,0,72,NA
1,3,2,22,2,3,2,33,-0,0,0,1,-2,0,1,1,0,49,0
1,1.5,2,94,-1,3,0,93,-1,0,4,1,2,0,1,1,0,65,-1.5
1,3,2,50,1,3,1,99,-2,3,1,0,1,0,1,0,0,75,0
0,3,2,50,2,3,2,60,1,0,0,1,-1,0,1,1,0,24,0
1,2,1,100,-0,1,1,50,-0,1,0,0,3,1,1,1,0,60,1
0,-0.5,1,50,-1,0,1,50,-1,1,1,0,2,1,0,0,0,55,-0.5
1,2.5,0,77,1,0.5,1,89,-0,0,3,0,2,0,1,1,0,44,2
1,3,1,80,1,2,1,82,-0,0,1,0,1,0,1,1,0,69,1
0,2,2,84,1,3,2,76,-2,1,1,0,1,1,1,0,0,46,-1
1,2.5,2,100,-0,3,1,100,-1,-2,2,0,1,0,1,1,0,27,-0.5
0,3,2,50,1,2,2,50,-0,0,4,0,0,0,1,1,0,34,1
1,2,2,76,1,0.5,0,72,-1,1,0,0,3,1,0,0,0,68,1.5
0,1.5,1,50,-0,3,1,81,-0,-2,2,0,-2,0,0,1,0,64,-1.5
0,-1.5,0,90,-2,-0.5,2,90,-1,-2,4,0,3,1,1,1,0,53,-1
0,0,1,50,-0,2,1,50,2,0,4,1,-3,0,0,0,0,48,-2
1,1.5,2,50,-0,2.5,1,50,1,1,1,1,0,0,0,0,0,18,-1
0,3,1,59,1,3,0,75,1,2,0,1,1,0,0,0,0,63,0
1,2.5,0,50,-1,3,2,79,-1,1,1,1,2,1,0,0,0,64,-0.5
0,3,2,80,2,3,2,80,2,1,1,1,0,0,0,1,0,23,0
0,2,2,50,1,2,2,72,1,0,0,1,1,0,0,0,0,50,0
